instance,n,number of cycles,covered squares,cpu_time (s),solution found
10b74ead-3887-4115-9278-5617bf787fbf.singles,10,169,28,0.0035788,True
10ee98e4-76e7-4dce-9251-fe6e4c8f02de.singles,10,682,30,0.003238961,True
115679fb-2d0f-4d32-ac21-dbf546033394.singles,10,194,29,0.003306509,True
11d72d2b-8b91-4e68-983d-e460d9453f71.singles,10,1038,29,0.003265792,True
11ea1d1c-2f31-4087-8bcb-c01746dba0ef.singles,10,2090,30,0.004769004,True
120866e5-a0dd-474d-a6b5-2bba6a553d3e.singles,10,2356,29,0.007049665,True
12132076-eed4-45ee-835c-b4b6c736635b.singles,10,609,31,0.005188983,True
123c8361-d18a-4023-a5cb-adab050f88c1.singles,10,612,27,0.006732841,True
127683b5-10c1-4d7a-8b6b-71c065fd4a11.singles,10,91,29,0.005613867,True
12b5bcce-5e01-481f-bafc-220147bf9fd7.singles,10,1424,29,0.005091972,True
1308b921-e191-4fc5-ba84-84f046e12cf4.singles,10,1430,30,0.006965016,True
130f4d9d-bc77-4a62-a327-10cb9beeb121.singles,10,223,27,0.005841062,True
13799616-ea9d-4ae9-8d04-8f9ae74e6c66.singles,10,255,30,0.003370309,True
13abbdac-40e2-4e1c-9e8e-a8be793b4590.singles,10,200,28,0.003280982,True
13f73d5d-c015-492a-b3e8-1549cb4a8d3e.singles,10,16541,31,0.003270181,True
143237d2-1b02-4239-9523-7271d81a3266.singles,10,572,28,0.013036201,True
144298d5-a505-41b0-8e73-47a0f23cb9cc.singles,10,680,29,0.003378583,True
14609c4b-0ad5-46b5-a0b3-160606df19cf.singles,10,72,29,0.003333589,True
147247ed-bafd-498b-9ada-114596c46e8f.singles,10,1191,30,0.506986409,True
14757840-e730-479b-a4ac-7227addda9f5.singles,10,1844,29,0.003449988,True
14e6df24-582b-4c18-86eb-9bc8454a44e8.singles,10,520,28,1.716800342,True
152d64ff-02a4-45ea-8ec1-71ced7f3c16c.singles,10,1413,29,0.004205832,True
155e8203-617d-42a7-99f7-54b486138cbb.singles,10,6001,29,0.003972045,True
15cceb08-6b44-4a9a-a605-b4b3f01a1c00.singles,10,3342,30,0.008189457,True
15f341eb-5f30-438d-9c1a-911cec182c17.singles,10,2084,31,0.005300542,True
1617f69a-15d6-4018-b682-d5ca0dd19109.singles,10,35342,29,0.003336204,True
161c2f68-6001-4f82-9e6f-f8c38188294c.singles,10,476,29,0.003269348,True
16452e21-a733-4c6b-b98a-aa19bb262adc.singles,10,496,30,0.003238712,True
16a43970-3592-48d9-927b-3cfddcc05098.singles,10,167,29,0.004025021,True
16f9f482-e57b-4083-8c09-72e18c5c7f88.singles,10,1330,29,3.144996974,True
170c04cc-432e-4307-8712-bf3f54b554a0.singles,10,2064,29,0.010352106,True
1718f98a-27a4-4dc1-a915-ca86b7b9ef13.singles,10,51,26,0.007118334,True
171b58e1-e002-4dbe-9e77-a975b1c86f8e.singles,10,788,28,0.015750863,True
17222c61-9345-4a31-a664-80175781d0b2.singles,10,3970,30,0.003889712,True
1796c4e0-2aff-4973-afc4-9c54cb50a87e.singles,10,1575,30,0.003568549,True
17b5bfed-3928-4284-9368-0f55e3f5db37.singles,10,3635,29,0.003337857,True
181184b6-ed4b-46ad-8a66-f50bd6666630.singles,10,8708,28,0.003320917,True
193ab65b-6f56-4b36-82ce-a30f1c938e97.singles,10,709,29,0.004176086,True
19884341-4194-4ea3-98ea-a3d33a34e4a0.singles,10,305,28,0.005815746,True
1a0d1102-1e7a-4344-bc7e-d632db3c5a9e.singles,10,618,29,0.003641175,True
1a3a3c58-7e94-42f1-8a0c-49f948a98179.singles,10,741,29,0.003301019,True
1a933dd5-9e1a-4a1e-a9ba-b5e1cf3b8723.singles,10,4027,30,0.046163275,True
1a96a912-87f7-42ca-b4b0-2027782c9d4a.singles,10,1787,29,0.004920909,True
1a9ac1bf-62a9-4a87-9f39-8e5db756595e.singles,10,877,27,0.042979358,True
1ad039f0-d621-47d0-b937-13392913f240.singles,10,623,30,0.003450297,True
1ad84b81-a46d-4e30-9d98-c93006e70d64.singles,10,962,28,0.003362023,True
1bc102f4-159f-4541-8f58-8ca5384a668c.singles,10,165735,29,0.010336659,True
1c00bd24-2db8-4402-ba26-b1c9cbbc446d.singles,10,273,27,0.004114179,True
1c03710b-51fd-42f2-b0e1-d4f4ad4fcf7f.singles,10,262,28,0.00872008,True
1c327db2-7033-48b5-a0d3-9dbdb2e24792.singles,10,1210,28,0.003619564,True
1c95b92a-3765-435b-ad1a-ca3e7059a8c5.singles,10,1439,27,0.004239528,True
1ceb7eb3-fb2a-4f2a-b89d-3d958616a2f7.singles,10,1428,27,0.011852736,True
1d9ef04c-a16e-43c1-b546-2470ad00ed61.singles,10,61,28,0.003726325,True
1dbe3d10-92c6-452a-acb4-8103d88a4ed1.singles,10,757,29,0.003408379,True
1dc5426d-0c8a-4136-8523-fb6859b45acc.singles,10,210,28,0.005395678,True
1dca7d40-413f-4c34-8b9e-b7e36461ffbc.singles,10,231,30,0.007683493,True
1e144b26-7917-4edf-a915-079230fca1bc.singles,10,3105,29,0.004312052,True
1e3e6ce3-c719-4c69-87f8-a62c90da0624.singles,10,960,29,0.008399681,True
1e7bf0ad-e623-4986-ab5e-c18477451e3a.singles,10,212,29,0.082009849,True
1e935ca6-bb3a-4396-a500-a981176d46f3.singles,10,128,30,0.018126076,True
1e93a2c8-f500-4bf6-a1cc-9b203386336c.singles,10,6561,30,0.022436828,True
1e99569a-64ea-458c-8ca6-a31aeb0b9863.singles,10,3266,28,0.00457922,True
1ef147dc-ef0b-4a6d-8519-0d1b26e9a7c6.singles,10,1180,28,0.006757839,True
1f58ed1e-64c2-43e2-97f2-a59aeab06eb8.singles,10,142,28,0.005200763,True
1fcb347a-0756-4401-abaa-075df48154a0.singles,10,348,28,0.01099003,True
1feb6849-c1b7-48d7-9223-93c613292969.singles,10,3007,29,0.00415648,True
1ffe4502-910f-4310-9479-c07a0e1d8525.singles,10,2885,29,0.006038573,True
20048c1d-2d44-4503-811e-6166e92ab95c.singles,10,308,29,0.003278165,True
2017fc33-ba35-4d7c-9f14-deb5c29c1ea0.singles,10,178,29,0.004666514,True
20d5e78e-e34d-479f-b838-fa57342beaa7.singles,10,128,29,0.003286201,True
21164f39-848c-4d2a-b2ad-a24c92141699.singles,10,308,30,0.021495724,True
2151b4e8-4c29-4de1-93de-eeae443ad6a8.singles,10,1691,29,0.00416174,True
218d5906-c827-47c2-b322-8fea0da55a44.singles,10,6187,28,0.005485988,True
21cee532-8b6e-4719-abaa-82dcd911f634.singles,10,166,29,0.005426557,True
22135950-fc35-4ff1-b4eb-6f4ed5bf0789.singles,10,11395,28,0.154894614,True
2214080d-8652-4301-a625-82d56d0f6e14.singles,10,1017,30,0.006274976,True
22482293-28e0-4734-8188-b7a8af96fa53.singles,10,54012,30,0.004650725,True
232080cf-5940-4c32-8965-2798e222d126.singles,10,2264,29,0.003259741,True
23368336-3b17-4543-b254-14aec38aabca.singles,10,420,27,0.006266246,True
23544715-b88d-4707-87b1-bf2cc768db47.singles,10,1341,30,0.011865428,True
2368415a-8e72-413b-96bb-d981527fbc92.singles,10,7693,28,0.005040885,True
23d6f19d-95fd-489b-a3bf-d8ea0099de0a.singles,10,1054,26,0.00705266,True
240ee04b-489c-48c4-83e8-119074204ec2.singles,10,230,28,0.003323531,True
2499ebd0-d2b8-438d-bd04-1f271cc36515.singles,10,986,28,0.009661514,True
24a5bc80-3116-4755-b3fc-8c730863f6bb.singles,10,254,30,0.00384775,True
25a92ed0-7337-4f29-9b71-0296506cc681.singles,10,262,28,0.003460166,True
25b1957e-f799-4124-8eb7-e3ead0c0847a.singles,10,158,28,0.004879113,True
266739ff-0016-4c5e-be84-8c6c951d6c2c.singles,10,1107,28,0.021007538,True
266f21ef-18eb-47f1-a22f-6455df72e76c.singles,10,1580,30,0.01048715,True
2672d4be-130b-436c-a1ab-5c5512d35a51.singles,10,565,31,0.003408841,True
270749e1-dba1-4d75-848e-8e0bbd09da4c.singles,10,902,29,0.008395483,True
27098171-0253-464a-8b53-93ef24c3cb72.singles,10,8795,29,0.004988176,True
27adb1aa-9dce-4d7a-81f1-6d8199ceb0e2.singles,10,393,28,0.015505862,True
280a9c43-5b06-4efd-9b36-766091dc101a.singles,10,208,29,0.067130683,True
28436bdf-2b7c-416c-ad86-2f0321a2ce4b.singles,10,15467,29,0.003421413,True
286a7c05-41d5-445b-8b35-191c0df92731.singles,10,754,30,0.004056912,True
28a930df-a68a-4e8c-be73-6e4bcb854a80.singles,10,1654,28,0.003262928,True
28c1a99a-ccec-4c69-9911-a4ca70317812.singles,10,614,29,0.005138888,True
28e2ecd9-f765-47c5-88b4-1bb31454d814.singles,10,313,27,0.005975556,True
296cd8e9-13e4-49f5-b490-0cb9c2c9b0e9.singles,10,31,27,0.01113346,True
2990198e-87c4-40b8-b3c9-f6054124cf5f.singles,10,59892,29,0.006402433,True
29c402ef-cb9e-4058-aff6-abbbd2885a6e.singles,10,609,28,0.005341206,True
29ccc30c-8259-453d-bddb-0dc193c97707.singles,10,1101,30,0.004947101,True
29eebf6d-d991-451d-8456-f23d17924f7b.singles,10,252,28,0.003234514,True
2a7c6e45-12f6-4d3c-8122-b7be68fa3664.singles,10,19033,30,0.005452887,True
2b628b63-322b-4163-a836-f39191c84d2c.singles,10,587,29,0.021544034,True
2b6e64b2-a132-4523-b6c5-860b557a7031.singles,10,7157,29,0.005233775,True
2ba1f485-3b79-463b-8fa4-a7fa4184320a.singles,10,3926,30,0.003269751,True
2ba8c737-ce34-4065-9fb9-2971abf7aedd.singles,10,8053,28,1.139331224,True
2be4ecfa-661d-4fc3-9ad5-b2481cb558a3.singles,10,1257,28,0.005184884,True
2c09d48a-2d31-4399-b67e-7ac93919ddf3.singles,10,1175,30,0.007848062,True
2ca6acc9-e629-460f-b1d8-794f847ebe3e.singles,10,3307,29,0.005988771,True
2cf185bb-456a-49ee-a1fb-7cab447953ec.singles,10,1025,28,0.004161228,True
2d0b8f05-f52f-46f3-b5ae-ea1453ac86f8.singles,10,51,30,0.00360108,True
2d54e146-a980-4468-991a-f229090185a6.singles,10,21070,29,0.004150476,True
2d8ff86d-50fa-4a5e-925f-d5f83f79c859.singles,10,688,29,0.003357775,True
2dae8ec4-9e19-417a-babf-066a093c6844.singles,10,1062,28,0.003316057,True
2dd456a2-475a-4120-ac6d-8b6a3e5d1714.singles,10,3938,29,0.004085467,True
2debcd01-4539-4531-98d4-68247bbe9250.singles,10,5787,29,7.228664696,True
2e03e7ef-ee93-4f4e-8c5f-9dc12c25567a.singles,10,2090,28,0.003443718,True
2e1f9489-4d61-42ad-a3ad-4ec459d459b0.singles,10,26875,29,0.003267577,True
2e3f9be5-8474-4554-8533-a8478878ff06.singles,10,991,30,0.00532009,True
2e95f61d-8c64-4ccd-a0e9-992e18db2b45.singles,10,1395,28,0.003379455,True
2ed31391-3f16-44e6-bf9c-62ab99a03c23.singles,10,61,27,0.00520871,True
2edf2bb7-d52b-4c4e-aba5-1e321948895f.singles,10,2154,29,0.003820891,True
2f267297-2f64-46bb-925b-ce3b41a9366b.singles,10,1038,29,0.004943632,True
2f3781ba-bb4c-4bd4-b79f-233984d2ca1d.singles,10,158,29,0.004814061,True
2f877a6a-ea30-4710-bdbb-24cba0ff6696.singles,10,134,26,0.233099032,True
2ff4e567-3567-408f-a0d2-663b2587941a.singles,10,206,29,20,False
3041641b-3dc1-4379-90d8-98494bc85332.singles,10,685,28,0.007438163,True
304aeb53-b388-409d-85bf-a61d5663bf59.singles,10,885,30,0.005308766,True
3079b68b-a746-4b22-a955-dfe7fab73f43.singles,10,3390,29,0.011381042,True
30ba4e57-4df4-4c9d-89d7-351bf9814ec3.singles,10,15206,30,0.004792922,True
30e7e8c5-f18a-4758-a22a-6e42ca465a7a.singles,10,476,29,0.005327381,True
30ec3df4-ee61-4adb-8b5a-6f6e86228cb7.singles,10,762,27,0.003293123,True
31b56da1-3f67-4961-904f-4b8e72df0210.singles,10,8453,28,0.010466259,True
31f5f844-333c-47e3-9d24-b3dc5e3c5eff.singles,10,1251,29,0.00359542,True
31fd041e-08ad-4a71-b113-f3f3dcce22da.singles,10,9309,27,0.003315977,True
3209e2f3-d687-4006-8474-bd67de437cab.singles,10,801,31,0.007257664,True
